source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_many,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,86.39,22.82
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,15,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,50.8,47.1
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,37,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,57.6,38
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,16,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,55.1,29.1
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,25,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,20.5,15
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,24,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,30.3,21.7
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,8,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,31.8,20.4
Azrag et al. (2021),Thaumatotibia leucotreta,Lepidoptera,y,y,y,n,once_many,1,6,37,30,37,17.41,4.93,14.23,5.04,397.19,113.02,436.26,156.48,NA,NA,NA,NA
"Backhouse, Sait and Cameron (2012)",Xylocoris flavipes,Hemiptera,n,n,y,n,once_thrice,1,7,21,21,21,15.57,2.04,11.9,3.12,16.47,4.28,18.05,5.36,NA,NA,NA,NA
Barnes et al. (2008),Drosophila melanogaster,Diptera,y,n,y,n,few_many,1,8,70,70,70,31.4,NA,23.6,NA,52.03,91.66,38.41,65.46,NA,NA,NA,NA
Begum et al. (2010),Procambarus clarkii,Decapoda,n,n,n,n,once_twice,1,9,10,14,10,NA,NA,NA,NA,NA,NA,NA,NA,56,42.69,114.4,48.64
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_five,1,10,45,45,15,16.8,11.4,16.2,12.08,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_ten,1,10,45,45,15,16.8,11.4,15.1,10.73,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_twenty,1,10,45,45,15,16.8,11.4,13.2,9.39,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_five,2,10,45,45,15,69.2,29.52,62.2,34.21,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_ten,2,10,45,45,15,69.2,29.52,54.5,28.85,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_twenty,2,10,45,45,15,69.2,29.52,50.4,31.53,NA,NA,NA,NA,NA,NA,NA,NA
Bergstrom and Wiklund (2002),Pieris napi,Lepidoptera,y,y,y,y,once_twice,1,11,50,40,50,14.9,5,16.3,5.7,287.8,93.3,325.1,133.4,NA,NA,NA,NA
Bergstrom and Wiklund (2002),Pieris napi,Lepidoptera,y,y,y,y,once_twice,2,11,49,51,49,14.6,4.9,16.4,5,410.2,148.4,459,151.4,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_three,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,849,81.33,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_five,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,889,42.88,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_seven,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,941,43.67,NA,NA,NA,NA
